Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Pat Connaughton,SF,31,MIL,24,0,22.1,2.1,5.0,0.417,1.1,3.4,0.321,1.0,1.6,0.615,0.525,0.5,0.6,0.733,0.8,3.1,4.0,2.0,0.5,0.2,0.6,1.2,5.7,23-24
Bilal Coulibaly,SF,19,WAS,27,1,26.8,3.4,6.5,0.517,1.2,2.9,0.418,2.1,3.6,0.598,0.611,1.1,1.7,0.638,0.7,3.3,4.0,1.7,1.0,0.7,1.5,1.9,9.1,23-24
Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,0.424,1.1,2.8,0.382,1.1,2.3,0.476,0.529,0.7,0.9,0.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,23-24
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1.0,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1,23-24
Cade Cunningham,PG,22,DET,29,29,34.8,8.3,19.2,0.435,1.8,5.7,0.321,6.5,13.5,0.483,0.483,3.9,4.4,0.876,0.5,3.4,3.9,7.1,1.0,0.3,4.0,2.7,22.4,23-24
Seth Curry,SG,33,DAL,23,3,12.0,1.4,3.9,0.367,0.8,2.1,0.388,0.6,1.8,0.341,0.472,0.4,0.4,0.9,0.5,1.0,1.5,0.8,0.6,0.1,0.3,0.9,4.1,23-24
Stephen Curry,PG,35,GSW,28,28,33.5,8.8,18.9,0.465,4.8,11.6,0.414,4.0,7.3,0.546,0.592,5.5,5.9,0.934,0.5,4.0,4.5,4.4,0.7,0.4,3.2,1.8,27.9,23-24
Dyson Daniels,PG,20,NOP,30,13,23.3,2.4,5.9,0.399,0.7,2.6,0.256,1.7,3.3,0.51,0.455,0.7,1.0,0.667,1.0,3.1,4.2,2.8,1.3,0.3,1.0,1.7,6.1,23-24
Anthony Davis,C,30,LAL,29,29,35.8,9.4,17.2,0.547,0.4,0.9,0.407,9.0,16.3,0.555,0.558,5.7,7.1,0.805,3.4,9.0,12.4,3.2,1.1,2.5,2.0,2.5,24.9,23-24
Johnny Davis,SG,21,WAS,14,0,9.1,1.4,2.9,0.475,0.1,0.2,0.333,1.3,2.6,0.486,0.488,0.3,0.4,0.8,0.6,0.8,1.4,0.4,0.5,0.1,0.4,0.7,3.1,23-24
JD Davison,SG,21,BOS,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23-24
Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,23-24
