Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Tyrese Haliburton,PG,23,IND,34,34,33.4,8.4,16.9,0.496,3.4,8.4,0.4,5,8.5,0.59,0.595,3.5,4.1,0.862,0.6,3.5,4.1,12.6,1.1,0.6,2.5,1.1,23.6,23-24
R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,0.286,0.1,1,0.125,0.4,0.8,0.5,0.321,0.1,0.3,0.5,0.3,0.5,0.8,1,0,0,0.4,1,1.3,23-24
Tim Hardaway Jr.,SF,31,DAL,41,8,29.8,6.2,14.7,0.421,3.3,8.9,0.367,2.9,5.8,0.504,0.532,2.5,2.8,0.871,0.3,3.3,3.6,1.7,0.5,0,1,1.5,18.1,23-24
James Harden,PG,34,LAC,37,37,34.2,5.1,11.3,0.456,2.8,6.5,0.423,2.4,4.8,0.5,0.578,4.3,4.9,0.873,0.3,4.2,4.5,8.5,1.2,0.9,2.6,2.1,17.3,23-24
Jaden Hardy,SG,21,DAL,39,4,15.5,2.8,7.4,0.381,1.3,3.8,0.351,1.5,3.6,0.411,0.471,0.7,1.1,0.683,0.3,1.8,2.1,1.6,0.3,0.1,0.7,1.2,7.7,23-24
Ron Harper Jr.,PF,23,TOR,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,23-24
Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,0.429,1.3,4,0.333,1.1,1.7,0.652,0.545,0.9,1.1,0.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,23-24
Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,0.361,0.7,1.9,0.345,0.2,0.5,0.429,0.5,0.1,0.1,0.5,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,23-24
Kevon Harris,SG,26,ORL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,1,0,23-24
Tobias Harris,PF,31,PHI,41,41,34.1,6.7,13.1,0.509,1.2,3.5,0.359,5.4,9.6,0.563,0.557,3.1,3.5,0.902,1,5,6,3.2,1,0.5,1.5,1.7,17.7,23-24
Shaquille Harrison,SG,30,MEM,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0.7,0.7,0,0,0.3,0,0,0.7,23-24
Josh Hart,SF,28,NYK,43,6,28.1,2.8,6.5,0.436,0.9,2.8,0.319,2,3.7,0.522,0.504,0.7,0.8,0.806,1.3,5.2,6.4,2.7,0.8,0.2,1.2,1.9,7.2,23-24
Isaiah Hartenstein,C,25,NYK,43,17,25.6,2.6,4.3,0.605,0,0.1,0.333,2.6,4.2,0.61,0.608,1.4,2,0.694,3.3,5.2,8.5,2,1.2,1.1,1.2,2.9,6.6,23-24
Sam Hauser,SF,26,BOS,43,5,21.8,2.8,6.4,0.437,2.2,5.5,0.403,0.6,0.9,0.641,0.61,0.3,0.3,0.846,0.7,2.9,3.7,1,0.4,0.3,0.5,1.4,8.1,23-24
Jordan Hawkins,SG,21,NOP,39,10,21.8,3.6,8.7,0.415,2.2,5.7,0.394,1.4,3.1,0.454,0.543,1.4,1.7,0.836,0.6,2.2,2.8,1.4,0.4,0.1,0.8,1.5,10.9,23-24
Jaxson Hayes,C,23,LAL,36,1,9.5,1.2,1.8,0.662,0,0.1,0,1.2,1.7,0.717,0.662,0.4,0.8,0.536,0.4,1.2,1.7,0.3,0.2,0.3,0.5,1.8,2.8,23-24
Killian Hayes,PG,22,DET,39,29,24.5,2.9,7,0.412,0.5,1.8,0.286,2.4,5.2,0.455,0.449,0.8,1.3,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,7.1,23-24
Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,0.468,0.9,2.4,0.361,4.7,9.4,0.496,0.505,2.5,3.2,0.765,1,3.7,4.7,4.6,1.1,0.5,2,1.8,14.5,23-24
Scoot Henderson,PG,19,POR,35,15,27.2,4.5,12.2,0.364,1.2,4,0.291,3.3,8.2,0.401,0.412,2.3,3,0.762,0.9,2.1,3,4.7,0.6,0.2,3.2,3.1,12.4,23-24
Taylor Hendricks,PF,20,UTA,13,0,13.9,1.8,4.5,0.397,0.9,2.7,0.343,0.8,1.8,0.478,0.5,0.5,0.6,0.75,0.8,1.4,2.2,0.5,0.7,0.5,0.7,0.9,4.9,23-24
Tyler Herro,SG,24,MIA,25,25,34.2,8.2,18.7,0.438,3.2,8.1,0.399,5,10.6,0.468,0.525,2.2,2.6,0.848,0.6,5,5.6,4.1,1.1,0.1,2.5,1.6,21.9,23-24
Buddy Hield,SF,31,IND,44,23,26.1,4.6,10.4,0.444,2.8,7.3,0.389,1.8,3.2,0.571,0.58,0.6,0.8,0.848,0.7,2.6,3.3,2.6,0.8,0.6,1.3,2,12.7,23-24
Haywood Highsmith,PF,27,MIA,30,18,21.4,2.1,5,0.417,1.1,3,0.371,1,2.1,0.484,0.526,0.6,0.8,0.783,0.8,2.1,2.9,1.2,1.1,0.5,0.7,1.9,5.9,23-24
