position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
C,30,20,0,8.1,1,1.6,0.1,0.1,0.9,1.5,0.2,0.3,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2
C,23,38,1,12,1.8,3.3,0.2,0.7,1.7,2.6,0.6,1.1,1.6,2,3.6,1,0.4,0.7,0.6,1.7,4.4
C,30,61,14,14.3,2,3.4,0,0,2,3.4,0.4,1.1,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3
SF,23,10,0,9,0.5,2.7,0.4,2.5,0.1,0.2,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0,0,0.6,1.6
SG,30,54,9,27.9,5.1,11.3,2.7,6.7,2.4,4.6,1.2,1.4,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14
PF,33,59,59,32.1,7.3,14.9,2.5,6,4.8,9,4.5,5.1,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6
PF,23,70,33,21.5,3.7,6.8,0.4,1.6,3.3,5.2,1.2,1.5,1,4.8,5.8,1,0.4,1.2,1.6,1.3,9.1
SF,22,14,0,4.9,0.2,1.4,0,0.3,0.2,1.1,0,0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4
SG,26,53,53,34.6,9.9,20.1,2.1,6,7.8,14.2,5.8,6.8,0.9,3.7,4.5,5.5,1,0.3,2.7,3,27.8
SF,21,22,1,11.3,2.3,5.5,0.5,1.3,1.8,4.2,1.3,1.7,0.3,1,1.4,0.9,0.4,0,0.5,1,6.5
PF,30,76,0,20,3.4,7,0.8,2.5,2.6,4.5,1.7,2.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4
SG,22,34,0,15.1,2,5.7,1,3.2,1.1,2.5,0.6,0.9,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6
